model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f1,auc_roc,test_loss,ga_mean,ga_std,ga_min,ga_max
blitz,1,0.01,True,0.0,-1,32,0.1,128,False,True,0.7053056516724336,0.08846153846153847,0.5542168674698795,0.15257048092868988,0.6806097801259551,0.7279646396636963,0.19,0.39,0.0,1.0
blitz,1,0.01,True,0.0,-1,32,0.1,128,False,True,0.7053056516724336,0.08846153846153847,0.5542168674698795,0.15257048092868988,0.6806097801259551,0.7279646396636963,0.26,0.44,0.0,1.0
blitz,1,0.01,True,0.0,-1,32,0.1,128,False,True,0.7053056516724336,0.08846153846153847,0.5542168674698795,0.15257048092868988,0.6806097801259551,0.7279646396636963,0.23,0.42,0.0,1.0
