model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
blitz,1,0.0001,True,0.0,21,16,0.2,128,True,True,0.052915766738660906,0.052915766738660906,0.5903614457831325,0.0971258671952428,0.5468609750935906,0.6887212991714478,40
blitz,1,0.0001,True,0.0,21,16,0.2,128,True,False,0.0,0.0,0.0,0.0,0.42938562244130973,0.2513679265975952,10
blitz,1,0.0001,True,0.0,21,16,0.2,128,False,True,0.05070754716981132,0.05070754716981132,0.5180722891566265,0.09237379162191194,0.5186341976020374,0.6973830461502075,45
blitz,1,0.0001,True,0.0,21,16,0.2,128,False,False,0.0,0.0,0.0,0.0,0.42135835893543894,0.25473660230636597,5
blitz,1,0.0001,True,0.0,21,16,0.2,256,True,True,0.04604051565377532,0.04604051565377532,0.6024096385542169,0.0855431993156544,0.5144016404807601,0.6994734406471252,45
blitz,1,0.0001,True,0.0,21,16,0.2,256,True,False,0.0,0.0,0.0,0.0,0.4295461677114272,0.2880623936653137,10
blitz,1,0.0001,True,0.0,21,16,0.2,256,False,True,0.046534653465346534,0.046534653465346534,0.5662650602409639,0.0860018298261665,0.495238373238563,0.7055125832557678,45
blitz,1,0.0001,True,0.0,21,16,0.2,256,False,False,0.0,0.0,0.0,0.0,0.4286850612626155,0.2889286279678345,20
blitz,1,0.0001,True,0.0,21,16,0.3,128,True,True,0.05032119914346895,0.05032119914346895,0.5662650602409639,0.09242871189773844,0.5333240898177811,0.6946521401405334,45
blitz,1,0.0001,True,0.0,21,16,0.3,128,True,False,0.0,0.0,0.0,0.0,0.42821072296454143,0.25664547085762024,5
blitz,1,0.0001,True,0.0,21,16,0.3,128,False,True,0.04783599088838269,0.04783599088838269,0.5060240963855421,0.08740894901144641,0.5094685221807885,0.7019670605659485,35
blitz,1,0.0001,True,0.0,21,16,0.3,128,False,False,0.0,0.0,0.0,0.0,0.4221756803105821,0.25677552819252014,5
blitz,1,0.0001,True,0.0,21,16,0.3,256,True,True,0.04868913857677903,0.04868913857677903,0.6265060240963856,0.09035621198957429,0.5027548108849692,0.7055749893188477,45
