model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f1,auc_roc,test_loss,ga_mean,ga_std,ga_min,ga_max
blitz,2,0.01,True,0.0,-1,32,0.1,128,False,True,0.5594002306805075,0.07806691449814127,0.7590361445783133,0.14157303370786517,0.6934242116862361,0.6557218432426453,0.15,0.36,0.0,1.0
blitz,2,0.01,True,0.0,-1,32,0.1,128,False,True,0.5594002306805075,0.07806691449814127,0.7590361445783133,0.14157303370786517,0.6934242116862361,0.6557218432426453,0.17,0.38,0.0,1.0
blitz,2,0.01,True,0.0,-1,32,0.1,128,False,True,0.5594002306805075,0.07806691449814127,0.7590361445783133,0.14157303370786517,0.6934242116862361,0.6557218432426453,0.24,0.43,0.0,1.0
