model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,val_auc,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
blitz,1,0.01,True,0.0,21,32,0.1,128,True,True,0.6946270686919066,0.8667820069204152,0.11855670103092783,0.27710843373493976,0.16606498194945846,0.678799997080995,0.7440124750137329,35
blitz,1,0.01,True,0.0,21,32,0.1,128,False,True,0.7698934481976877,0.6597462514417531,0.09178743961352658,0.6867469879518072,0.1619318181818182,0.6886735311932162,0.6470469236373901,25
blitz,1,0.01,True,0.0,21,64,0.1,128,True,True,0.598503740648379,0.9261822376009228,0.16417910447761194,0.13253012048192772,0.14666666666666667,0.6638911794969096,0.7751285433769226,15
blitz,1,0.01,True,0.0,21,64,0.1,128,False,True,0.8102471094989798,0.563437139561707,0.07663316582914573,0.7349397590361446,0.13879408418657566,0.6951683171206935,0.664184033870697,15
blitz,1,0.01,True,0.0,21,128,0.1,128,True,True,0.783722511902063,0.895040369088812,0.12781954887218044,0.20481927710843373,0.1574074074074074,0.6752023235279094,0.7373946905136108,25
blitz,1,0.01,True,0.0,21,128,0.1,128,False,True,0.6798911811380639,0.7664359861591695,0.1053921568627451,0.5180722891566265,0.17515274949083506,0.6980289419336947,0.6706282496452332,30
blitz,1,0.01,True,0.0,22,32,0.1,128,True,True,0.7340739061437316,0.8229527104959631,0.10839160839160839,0.37349397590361444,0.16802168021680214,0.6717724927572192,0.7149316668510437,25
blitz,1,0.01,True,0.0,22,32,0.1,128,False,True,0.8165948764452505,0.6983852364475202,0.0940959409594096,0.6144578313253012,0.16319999999999998,0.6921325520130188,0.6441529989242554,15
blitz,1,0.01,True,0.0,22,64,0.1,128,True,True,0.690546361369304,0.7001153402537486,0.08221797323135756,0.5180722891566265,0.1419141914191419,0.6744141922018785,0.7403581738471985,0
blitz,1,0.01,True,0.0,22,64,0.1,128,False,True,0.820675583767853,0.7341407151095732,0.10460251046025104,0.6024096385542169,0.17825311942959002,0.7073916501864514,0.6609719395637512,0
