model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
mc-dropout,2,0.001,False,0.0,21,64,0.2,128,True,True,0.13302752293577982,0.13302752293577982,0.3493975903614458,0.19269102990033224,0.6803032846102762,0.9944999814033508,30
mc-dropout,2,0.001,False,0.0,21,64,0.2,128,False,True,0.09188034188034189,0.09188034188034189,0.5180722891566265,0.1560798548094374,0.6791210876212299,0.8630601763725281,45
mc-dropout,2,0.001,False,0.5,21,64,0.2,128,True,True,0.21428571428571427,0.21428571428571427,0.2891566265060241,0.24615384615384617,0.7066108163726985,2.286102771759033,45
mc-dropout,2,0.001,False,0.5,21,64,0.2,128,False,True,0.171875,0.171875,0.39759036144578314,0.24,0.6981894872038121,3.6637120246887207,30
mc-dropout,2,0.001,False,1.0,21,64,0.2,128,True,True,0.2246376811594203,0.2246376811594203,0.37349397590361444,0.28054298642533937,0.7182211584070991,3.9679434299468994,40
mc-dropout,2,0.001,False,1.0,21,64,0.2,128,False,True,0.1889763779527559,0.1889763779527559,0.2891566265060241,0.22857142857142856,0.7181883196018477,5.99867582321167,35
mc-dropout,3,0.001,False,0.0,21,64,0.2,128,True,True,0.11440677966101695,0.11440677966101695,0.3253012048192771,0.16927899686520376,0.7032028781388424,1.226436734199524,45
mc-dropout,3,0.001,False,0.0,21,64,0.2,128,False,True,0.09433962264150944,0.09433962264150944,0.5421686746987951,0.16071428571428573,0.6758080170469887,0.8992357850074768,45
mc-dropout,3,0.001,False,0.5,21,64,0.2,128,True,True,0.2222222222222222,0.2222222222222222,0.2891566265060241,0.25130890052356025,0.7076251705793496,2.5889482498168945,40
mc-dropout,3,0.001,False,0.5,21,64,0.2,128,False,True,0.16574585635359115,0.16574585635359115,0.3614457831325301,0.22727272727272727,0.6996052045857566,3.6792569160461426,35
mc-dropout,3,0.001,False,1.0,21,64,0.2,128,True,True,0.23333333333333334,0.23333333333333334,0.3373493975903614,0.27586206896551724,0.695781308152051,5.684059143066406,45
mc-dropout,3,0.001,False,1.0,21,64,0.2,128,False,True,0.1987179487179487,0.1987179487179487,0.37349397590361444,0.2594142259414226,0.69895207723687,7.2210259437561035,20
blitz,2,0.001,False,0.0,21,64,0.2,128,True,True,0.2323943661971831,0.2323943661971831,0.39759036144578314,0.29333333333333333,0.7168711186356571,1.3906712532043457,15
blitz,2,0.001,False,0.0,21,64,0.2,128,False,True,0.21764705882352942,0.21764705882352942,0.4457831325301205,0.29249011857707513,0.715039443053863,1.4114669561386108,15
blitz,2,0.001,False,0.5,21,64,0.2,128,True,True,0.47368421052631576,0.47368421052631576,0.3253012048192771,0.3857142857142857,0.6911911729291484,3.500859260559082,5
blitz,2,0.001,False,0.5,21,64,0.2,128,False,True,0.4406779661016949,0.4406779661016949,0.3132530120481928,0.36619718309859156,0.6923879649427509,4.536057472229004,5
blitz,2,0.001,False,1.0,21,64,0.2,128,True,True,0.5714285714285714,0.5714285714285714,0.2891566265060241,0.38399999999999995,0.7130983047878978,4.689026355743408,5
blitz,2,0.001,False,1.0,21,64,0.2,128,False,True,0.5454545454545454,0.5454545454545454,0.2891566265060241,0.37795275590551175,0.6900454635014923,5.310917377471924,5
blitz,3,0.001,False,0.0,21,64,0.2,128,True,True,0.3132530120481928,0.3132530120481928,0.3132530120481928,0.3132530120481928,0.6880970277232492,2.832416296005249,25
blitz,3,0.001,False,0.0,21,64,0.2,128,False,True,0.2601626016260163,0.2601626016260163,0.3855421686746988,0.31067961165048547,0.6920084943042917,2.456756353378296,30
blitz,3,0.001,False,0.5,21,64,0.2,128,True,True,0.5681818181818182,0.5681818181818182,0.30120481927710846,0.3937007874015748,0.6792013602562886,6.503864288330078,15
blitz,3,0.001,False,0.5,21,64,0.2,128,False,True,0.46153846153846156,0.46153846153846156,0.2891566265060241,0.3555555555555556,0.6693570161931798,7.546231269836426,10
blitz,3,0.001,False,1.0,21,64,0.2,128,True,True,0.5294117647058824,0.5294117647058824,0.3253012048192771,0.40298507462686567,0.6932490713915627,7.0959038734436035,10
blitz,3,0.001,False,1.0,21,64,0.2,128,False,True,0.5952380952380952,0.5952380952380952,0.30120481927710846,0.4,0.677325899600826,8.464590072631836,45
