model,layers,learning_rate,under,oversample,hidden_layer_size,test_split,batch_size,augment,weight_loss,val_auc_mean,val_auc_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f_measure_mean,f_measure_std,auc_roc_mean,auc_roc_std,test_loss_mean,test_loss_std,best_epochs_mean,best_epochs_std
blitz,2,0.01,False,0.5,64,0.1,256,True,True,0.7784364089775562,0.0468661897896511,0.8738177623990773,0.08232236387097501,0.11480182812151488,0.06834741386148935,0.28674698795180725,0.2228752843287907,0.1542173482956126,0.08974291845577018,0.7031094699816832,0.011739022632500182,0.7480792284011841,0.042453490437198434,19,10.8397416943394
blitz,4,0.005,False,0.5,64,0.1,128,True,True,0.7751172069825436,0.04971227295172545,0.8885813148788927,0.04521389437834998,0.17806263510004272,0.03605665849185903,0.3132530120481928,0.1478053511612686,0.20709947366933584,0.023752623822147108,0.7075697094860363,0.009464863015701869,0.7551724076271057,0.060578126378419465,10,6.123724356957944
blitz,1,0.005,False,0.5,32,0.1,128,True,True,0.7661820448877805,0.039574923929347666,0.8234140715109574,0.06088419686052309,0.13229505665701782,0.0306583218884879,0.4337349397590362,0.152874428198187,0.18970459208779095,0.011480759412884381,0.6977530959695839,0.013974562052436445,0.7320973753929139,0.06290223384841623,14,8.215838362577491
blitz,1,0.01,False,0.0,32,0.1,256,False,True,0.76331897528905,0.03285555273317888,0.6734717416378315,0.08524300246523753,0.08627635171198891,0.007533902934027587,0.5927710843373494,0.11847729897773034,0.14953704547442234,0.00841106312824111,0.6938839549597542,0.010692521581333044,0.6543229341506958,0.019375840127922005,20,10.606601717798213
blitz,1,0.01,True,0.0,32,0.1,256,False,True,0.76331897528905,0.03285555273317888,0.6734717416378315,0.08524300246523753,0.08627635171198891,0.007533902934027587,0.5927710843373494,0.11847729897773034,0.14953704547442234,0.00841106312824111,0.6938839549597542,0.010692521581333044,0.6543229341506958,0.019375840127922005,20,10.606601717798213
blitz,2,0.005,False,0.0,64,0.1,256,True,True,0.762684198594423,0.045215025096749906,0.838177623990773,0.07731518840704488,0.14237390850508094,0.039676034703567536,0.39036144578313253,0.19917816339937663,0.18484749288193214,0.014449581457129254,0.6981924062087235,0.0052207583033844224,0.7029316663742066,0.0746261760205066,21,8.215838362577491
blitz,2,0.005,True,0.0,64,0.1,256,True,True,0.762684198594423,0.045215025096749906,0.838177623990773,0.07731518840704488,0.14237390850508094,0.039676034703567536,0.39036144578313253,0.19917816339937663,0.18484749288193214,0.014449581457129254,0.6981924062087235,0.0052207583033844224,0.7029316663742066,0.0746261760205066,21,8.215838362577491
blitz,2,0.005,False,0.5,32,0.1,256,True,True,0.7626433915211971,0.0450164553950605,0.848327566320646,0.05097040981144062,0.14810804061106927,0.028619047230097613,0.4168674698795181,0.09509680607552344,0.2128295342397438,0.020448367945678416,0.7142104456590749,0.01341238149029335,0.7336756229400635,0.0681596088458339,14,8.944271909999157
blitz,1,0.01,False,0.0,64,0.1,128,False,True,0.7626388574019497,0.05321436559661513,0.659284890426759,0.05607867571685703,0.08697754973828062,0.007046823685660899,0.6361445783132529,0.0719873216688658,0.15259584278683092,0.009172747884619909,0.6875482547999388,0.00866690636359609,0.6699440598487854,0.02869023728252615,18,14.404860290887934
blitz,1,0.01,True,0.0,64,0.1,128,False,True,0.7626388574019497,0.05321436559661513,0.659284890426759,0.05607867571685703,0.08697754973828062,0.007046823685660899,0.6361445783132529,0.0719873216688658,0.15259584278683092,0.009172747884619909,0.6875482547999388,0.00866690636359609,0.6699440598487854,0.02869023728252615,18,14.404860290887934
blitz,2,0.005,True,0.0,128,0.1,256,False,True,0.7610065744729086,0.055823414391154666,0.6720876585928489,0.046297296255786324,0.09186987129908832,0.008007717547505674,0.6506024096385541,0.045080209479204145,0.1606956627992317,0.011204568989034748,0.6996635846839813,0.009786985617691578,0.6535252809524537,0.012628320381215063,24,9.617692030835672
blitz,2,0.005,False,0.0,128,0.1,256,False,True,0.7610065744729086,0.055823414391154666,0.6720876585928489,0.046297296255786324,0.09186987129908832,0.008007717547505674,0.6506024096385541,0.045080209479204145,0.1606956627992317,0.011204568989034748,0.6996635846839813,0.009786985617691578,0.6535252809524537,0.012628320381215063,24,9.617692030835672
blitz,1,0.01,False,0.0,32,0.1,256,True,True,0.7602811153933349,0.05282944563019424,0.831603229527105,0.06487312546454206,0.1270865457298973,0.03806930782039408,0.363855421686747,0.16060742587453553,0.16485560501498722,0.03393392463437466,0.6705333751724039,0.014187040861837492,0.7155550837516784,0.04444105817654724,23,10.36822067666386
blitz,1,0.01,True,0.0,32,0.1,256,True,True,0.7602811153933349,0.05282944563019424,0.831603229527105,0.06487312546454206,0.1270865457298973,0.03806930782039408,0.363855421686747,0.16060742587453553,0.16485560501498722,0.03393392463437466,0.6705333751724039,0.014187040861837492,0.7155550837516784,0.04444105817654724,23,10.36822067666386
blitz,2,0.005,False,0.0,32,0.1,256,False,True,0.7600090682384947,0.04876091635409152,0.6779700115340254,0.08849273793689871,0.09016507724181735,0.01072475288779159,0.6096385542168675,0.1265347070179867,0.1555602938802968,0.012825030342647084,0.7019725175687609,0.012411004231497007,0.6462616324424744,0.018787340904267043,18,6.708203932499369
blitz,2,0.005,True,0.0,32,0.1,256,False,True,0.7600090682384947,0.04876091635409152,0.6779700115340254,0.08849273793689871,0.09016507724181735,0.01072475288779159,0.6096385542168675,0.1265347070179867,0.1555602938802968,0.012825030342647084,0.7019725175687609,0.012411004231497007,0.6462616324424744,0.018787340904267043,18,6.708203932499369
blitz,1,0.01,False,0.0,32,0.1,128,False,True,0.7582407617320335,0.050247881954433665,0.6778546712802769,0.06827470820118435,0.09286653368452802,0.008665885838536808,0.6409638554216868,0.09913254183481544,0.16142344018028912,0.010539471964781237,0.6942211000270009,0.010523773551922877,0.6448816418647766,0.0026560416367094105,22,9.746794344808963
blitz,1,0.01,True,0.0,32,0.1,128,False,True,0.7582407617320335,0.050247881954433665,0.6778546712802769,0.06827470820118435,0.09286653368452802,0.008665885838536808,0.6409638554216868,0.09913254183481544,0.16142344018028912,0.010539471964781237,0.6942211000270009,0.010523773551922877,0.6448816418647766,0.0026560416367094105,22,9.746794344808963
blitz,2,0.005,False,0.5,32,0.1,128,True,True,0.7564763092269328,0.058714258082797025,0.8675893886966553,0.039318594198771394,0.14130655419556287,0.026303982160166023,0.3397590361445783,0.1382658077392267,0.1940482780533015,0.03436128969170708,0.7019725175687609,0.012460931831061816,0.7965543627738952,0.061507632997856304,22,12.549900398011133
blitz,3,0.005,True,0.0,32,0.1,256,True,True,0.7562457492632058,0.03539387619326155,0.8384083044982699,0.038525630348928336,0.13141919043834174,0.01615276300890158,0.4096385542168674,0.0967613156880061,0.19591547564577344,0.011404665625820924,0.7007056694372888,0.008300300947156884,0.6910422444343567,0.03624585441025871,21,9.617692030835672
blitz,3,0.005,False,0.0,32,0.1,256,True,True,0.7562457492632058,0.03539387619326155,0.8384083044982699,0.038525630348928336,0.13141919043834174,0.01615276300890158,0.4096385542168674,0.0967613156880061,0.19591547564577344,0.011404665625820924,0.7007056694372888,0.008300300947156884,0.6910422444343567,0.03624585441025871,21,9.617692030835672
blitz,2,0.005,True,0.0,32,0.1,128,False,True,0.7561097256857856,0.04024059569283785,0.7006920415224913,0.0962184200274113,0.09489810947662265,0.017262044555883396,0.5807228915662652,0.1307103986035231,0.16065412292958897,0.020324171136811245,0.6911678208898586,0.01207553559259018,0.6747847199440002,0.037753091244878495,22,12.041594578792296
blitz,3,0.005,True,0.0,64,0.1,256,False,True,0.7561097256857856,0.059298757077160306,0.730795847750865,0.0843428316520845,0.1027078031016873,0.02412749414936892,0.5518072289156627,0.10823274545289503,0.1694923587780132,0.025318764195234177,0.6890004597432735,0.01695827111546385,0.671355402469635,0.04562405392036891,18,10.954451150103322
blitz,3,0.005,False,0.0,64,0.1,256,False,True,0.7561097256857856,0.059298757077160306,0.730795847750865,0.0843428316520845,0.1027078031016873,0.02412749414936892,0.5518072289156627,0.10823274545289503,0.1694923587780132,0.025318764195234177,0.6890004597432735,0.01695827111546385,0.671355402469635,0.04562405392036891,18,10.954451150103322
blitz,2,0.005,False,0.0,32,0.1,128,False,True,0.7561097256857856,0.04024059569283785,0.7006920415224913,0.0962184200274113,0.09489810947662265,0.017262044555883396,0.5807228915662652,0.1307103986035231,0.16065412292958897,0.020324171136811245,0.6911678208898586,0.01207553559259018,0.6747847199440002,0.037753091244878495,22,12.041594578792296
blitz,3,0.01,False,0.0,64,0.1,256,True,True,0.7552482430287918,0.04106714525759643,0.8335640138408305,0.07596777918943243,0.1207544240731087,0.023305014689334245,0.3493975903614458,0.16453614799695981,0.16550207139707324,0.01651060075569142,0.6694693978822619,0.013489064654540871,0.7203377962112427,0.021385326379132194,26,5.477225575051662
blitz,3,0.01,True,0.0,64,0.1,256,True,True,0.7552482430287918,0.04106714525759643,0.8335640138408305,0.07596777918943243,0.1207544240731087,0.023305014689334245,0.3493975903614458,0.16453614799695981,0.16550207139707324,0.01651060075569142,0.6694693978822619,0.013489064654540871,0.7203377962112427,0.021385326379132194,26,5.477225575051662
blitz,2,0.01,True,0.0,32,0.1,256,False,True,0.7551575606438448,0.05787221995162699,0.615686274509804,0.20743680894777194,0.08207037746084371,0.019863091456875138,0.6000000000000001,0.2329074907762508,0.13872577165581537,0.0209509816405539,0.693816817846796,0.010741964596165748,0.6586951971054077,0.033949613334001025,18,10.954451150103322
blitz,2,0.01,False,0.0,32,0.1,256,False,True,0.7551575606438448,0.05787221995162699,0.615686274509804,0.20743680894777194,0.08207037746084371,0.019863091456875138,0.6000000000000001,0.2329074907762508,0.13872577165581537,0.0209509816405539,0.693816817846796,0.010741964596165748,0.6586951971054077,0.033949613334001025,18,10.954451150103322
blitz,3,0.005,True,0.0,128,0.1,256,False,True,0.7547948311040581,0.04292849653374982,0.7205305651672433,0.07593712724370855,0.10084488434172387,0.012628827932679733,0.5927710843373494,0.11022614950826676,0.17110756623551546,0.017825131416476923,0.6954689746265498,0.0036221671010379397,0.6527762174606323,0.01317785088753606,20,6.123724356957945
