model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
blitz,1,0.0001,True,0.0,21,16,0.2,128,True,True,0.052915766738660906,0.052915766738660906,0.5903614457831325,0.0971258671952428,0.5468609750935906,0.6887212991714478,40
blitz,1,0.0001,True,0.0,21,16,0.2,128,False,True,0.05070754716981132,0.05070754716981132,0.5180722891566265,0.09237379162191194,0.5186341976020374,0.6973830461502075,45
blitz,1,0.0001,True,0.0,21,16,0.2,256,True,True,0.04604051565377532,0.04604051565377532,0.6024096385542169,0.0855431993156544,0.5144016404807601,0.6994734406471252,45
blitz,1,0.0001,True,0.0,21,16,0.2,256,False,True,0.046534653465346534,0.046534653465346534,0.5662650602409639,0.0860018298261665,0.495238373238563,0.7055125832557678,45
blitz,1,0.0001,True,0.0,21,16,0.3,128,True,True,0.05032119914346895,0.05032119914346895,0.5662650602409639,0.09242871189773844,0.5333240898177811,0.6946521401405334,45
blitz,1,0.0001,True,0.0,21,16,0.3,128,False,True,0.04783599088838269,0.04783599088838269,0.5060240963855421,0.08740894901144641,0.5094685221807885,0.7019670605659485,35
blitz,1,0.0001,True,0.0,21,16,0.3,256,True,True,0.04868913857677903,0.04868913857677903,0.6265060240963856,0.09035621198957429,0.5027548108849692,0.7055749893188477,45
blitz,1,0.0001,True,0.0,21,16,0.3,256,False,True,0.04334677419354839,0.04334677419354839,0.5180722891566265,0.08,0.4905168827946553,0.7094323039054871,35
blitz,1,0.0001,True,0.0,21,32,0.2,128,True,True,0.06840390879478828,0.06840390879478828,0.5060240963855421,0.1205164992826399,0.6202593535863624,0.6665858030319214,45
blitz,1,0.0001,True,0.0,21,32,0.2,128,False,True,0.06607929515418502,0.06607929515418502,0.5421686746987951,0.11780104712041886,0.6066786832368846,0.6708314418792725,40
blitz,1,0.0001,True,0.0,21,32,0.2,256,True,True,0.05912596401028278,0.05912596401028278,0.5542168674698795,0.10685249709639953,0.5994906336429912,0.6718398332595825,45
blitz,1,0.0001,True,0.0,21,32,0.2,256,False,True,0.05419766206163656,0.05419766206163656,0.6144578313253012,0.099609375,0.5798530281027198,0.6787545084953308,45
