layers,learning_rate,oversample,seed,hidden_layer_size,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
1,0.0001,0.0,21,16,0.059202059202059204,0.059202059202059204,0.5542168674698795,0.10697674418604651,0.5915874278458474,0.6744471192359924,150
1,0.0001,0.0,21,32,0.07032590051457976,0.07032590051457976,0.4939759036144578,0.12312312312312314,0.6384885392569672,0.6621394753456116,150
1,0.0001,0.0,21,64,0.07918968692449356,0.07918968692449356,0.5180722891566265,0.13738019169329074,0.6409550984069531,0.6581228971481323,60
1,0.0001,0.5,21,16,0.045550847457627115,0.045550847457627115,0.5180722891566265,0.0837390457643622,0.47025169119847043,0.7196515798568726,20
1,0.0001,0.5,21,32,0.052675585284280936,0.052675585284280936,0.7590361445783133,0.09851446442533228,0.5415629811797159,0.6911953687667847,40
1,0.0001,0.5,21,64,0.05961754780652419,0.05961754780652419,0.6385542168674698,0.10905349794238685,0.6038253559361613,0.6773985624313354,70
1,0.0001,1.0,21,16,0.04536290322580645,0.04536290322580645,0.5421686746987951,0.08372093023255814,0.4711857727700627,0.7209964990615845,50
1,0.0001,1.0,21,32,0.04850444624090541,0.04850444624090541,0.7228915662650602,0.09090909090909091,0.49798953536739327,0.7116755247116089,15
1,0.0001,1.0,21,64,0.059873949579831935,0.059873949579831935,0.6867469879518072,0.11014492753623188,0.5930615253260164,0.6837571859359741,90
1,0.001,0.0,21,16,0.1238390092879257,0.1238390092879257,0.4819277108433735,0.19704433497536947,0.6987732881860574,0.7063038945198059,80
1,0.001,0.0,21,32,0.1471698113207547,0.1471698113207547,0.46987951807228917,0.22413793103448276,0.6952850773171425,0.8173586130142212,65
1,0.001,0.0,21,64,0.1890547263681592,0.1890547263681592,0.4578313253012048,0.26760563380281693,0.7193230827610868,0.8346750140190125,60
1,0.001,0.5,21,16,0.08536585365853659,0.08536585365853659,0.5903614457831325,0.14916286149162863,0.6606000014595024,0.7219818830490112,115
1,0.001,0.5,21,32,0.1038961038961039,0.1038961038961039,0.5783132530120482,0.1761467889908257,0.6893521998350762,0.7620644569396973,115
1,0.001,0.5,21,64,0.1091314031180401,0.1091314031180401,0.5903614457831325,0.18421052631578946,0.6953507549276453,0.7266034483909607,75
1,0.001,1.0,21,16,0.08387096774193549,0.08387096774193549,0.6265060240963856,0.14793741109530584,0.6788583771792196,0.7019014954566956,170
1,0.001,1.0,21,32,0.09363957597173145,0.09363957597173145,0.6385542168674698,0.1633281972265023,0.6909430575116944,0.6828140616416931,85
1,0.001,1.0,21,64,0.08419243986254296,0.08419243986254296,0.5903614457831325,0.1473684210526316,0.6895273401297497,0.6526543498039246,30
1,1e-05,0.0,21,16,0.042105263157894736,0.042105263157894736,0.3855421686746988,0.07591933570581257,0.4613706187560661,0.7314309477806091,100
1,1e-05,0.0,21,32,0.04323827046918123,0.04323827046918123,0.5662650602409639,0.08034188034188033,0.47292987820452004,0.7233160138130188,25
1,1e-05,0.0,21,64,0.04924242424242424,0.04924242424242424,0.46987951807228917,0.08914285714285713,0.5192544861456729,0.7133844494819641,55
1,1e-05,0.5,21,16,0.03949447077409163,0.03949447077409163,0.30120481927710846,0.06983240223463687,0.4571891442207351,0.7436797618865967,130
1,1e-05,0.5,21,32,0.044962531223980015,0.044962531223980015,0.6506024096385542,0.08411214953271029,0.4716017309699123,0.7399446368217468,10
1,1e-05,0.5,21,64,0.0491183879093199,0.0491183879093199,0.46987951807228917,0.08893956670467501,0.4936913006356134,0.73990797996521,10
1,1e-05,1.0,21,16,0.0353356890459364,0.0353356890459364,0.24096385542168675,0.06163328197226502,0.4534163303729758,0.754396915435791,15
1,1e-05,1.0,21,32,0.04567699836867863,0.04567699836867863,0.6746987951807228,0.0855614973262032,0.4751045368633833,0.7412656545639038,35
1,1e-05,1.0,21,64,0.04479578392621871,0.04479578392621871,0.40963855421686746,0.0807600950118765,0.4879043733991082,0.745198667049408,10
2,0.0001,0.0,21,16,0.08614232209737828,0.08614232209737828,0.5542168674698795,0.14910858995137766,0.680033276655988,0.6428914666175842,125
