model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
blitz,3,0.005,False,0.0,21,64,0.1,128,True,True,0.2857142857142857,0.2857142857142857,0.3855421686746988,0.3282051282051282,0.6935628644195193,3.859700918197632,45
blitz,3,0.005,False,0.0,21,64,0.2,128,True,True,0.35294117647058826,0.35294117647058826,0.3614457831325301,0.35714285714285715,0.7239643005699357,3.9515316486358643,25
blitz,3,0.005,False,0.0,21,128,0.1,128,True,True,0.4264705882352941,0.4264705882352941,0.3493975903614458,0.3841059602649007,0.7042026373209372,3.0866897106170654,40
blitz,3,0.005,False,0.0,21,128,0.2,128,True,True,0.2755905511811024,0.2755905511811024,0.42168674698795183,0.3333333333333333,0.7015390453394437,2.8937814235687256,40
blitz,3,0.005,False,0.5,21,64,0.1,128,True,True,0.5853658536585366,0.5853658536585366,0.2891566265060241,0.3870967741935484,0.7143461793874468,8.285100936889648,5
blitz,3,0.005,False,0.5,21,64,0.2,128,True,True,0.5625,0.5625,0.3253012048192771,0.41221374045801523,0.6963724066465743,7.6219916343688965,15
blitz,3,0.005,False,0.5,21,128,0.1,128,True,True,0.49122807017543857,0.49122807017543857,0.3373493975903614,0.39999999999999997,0.6831639094232776,8.249024391174316,40
blitz,3,0.005,False,0.5,21,128,0.2,128,True,True,0.56,0.56,0.3373493975903614,0.42105263157894735,0.69001627345238,7.520108699798584,5
blitz,3,0.005,False,1.0,21,64,0.1,128,True,True,0.6,0.6,0.2891566265060241,0.3902439024390244,0.6833390497179511,9.234291076660156,5
blitz,3,0.005,False,1.0,21,64,0.2,128,True,True,0.8214285714285714,0.8214285714285714,0.27710843373493976,0.4144144144144144,0.6956426554187677,11.529315948486328,20
blitz,3,0.005,False,1.0,21,128,0.1,128,True,True,0.6341463414634146,0.6341463414634146,0.3132530120481928,0.41935483870967744,0.7252194726817629,5.727234840393066,0
blitz,3,0.005,False,1.0,21,128,0.2,128,True,True,0.2727272727272727,0.2727272727272727,0.3614457831325301,0.310880829015544,0.7119015127742953,5.561573505401611,5
blitz,3,0.001,False,0.0,21,64,0.1,128,True,True,0.4318181818181818,0.4318181818181818,0.2289156626506024,0.2992125984251968,0.6945553260893361,3.1886417865753174,40
blitz,3,0.001,False,0.0,21,64,0.2,128,True,True,0.3132530120481928,0.3132530120481928,0.3132530120481928,0.3132530120481928,0.6880970277232492,2.832416296005249,25
blitz,3,0.001,False,0.0,21,128,0.1,128,True,True,0.3162393162393162,0.3162393162393162,0.4457831325301205,0.37,0.6918844365955645,3.107459545135498,35
