model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f1,auc_roc,test_loss,ga_mean,ga_std,ga_min,ga_max
blitz,2,0.005,False,0.0,-1,64,0.1,256,True,True,0.7814302191464821,0.11658031088082901,0.5421686746987951,0.19189765458422173,0.6878416147935168,0.6825135946273804,0.25,0.43,0.0,1.0
blitz,2,0.005,False,0.0,-1,64,0.1,256,True,True,0.7814302191464821,0.11658031088082901,0.5421686746987951,0.19189765458422173,0.6878416147935168,0.6825135946273804,0.4,0.49,0.0,1.0
blitz,2,0.005,False,0.0,-1,64,0.1,256,True,True,0.7814302191464821,0.11658031088082901,0.5421686746987951,0.19189765458422173,0.6878416147935168,0.6825135946273804,0.3,0.46,0.0,1.0
