model,layers,learning_rate,under,oversample,seed,hidden_layer_size,test_split,batch_size,augment,weight_loss,accuracy,precision,recall,f_measure,auc_roc,test_loss,best_epochs
blitz,1,0.001,True,0.0,20,32,0.1,128,True,True,0.2108843537414966,0.2108843537414966,0.37349397590361444,0.26956521739130435,0.7425364693176096,0.7804571390151978,40
blitz,1,0.001,True,0.0,20,32,0.1,128,True,False,0.0,0.0,0.0,0.0,0.7274160238774602,0.19034574925899506,0
blitz,1,0.001,True,0.0,20,32,0.1,128,False,True,0.13056379821958458,0.13056379821958458,0.5301204819277109,0.20952380952380958,0.744258682215233,0.6505452394485474,35
blitz,1,0.001,True,0.0,20,32,0.1,128,False,False,0.0,0.0,0.0,0.0,0.7167105733655397,0.18595008552074432,0
blitz,1,0.001,True,0.0,20,64,0.1,128,True,True,0.1896551724137931,0.1896551724137931,0.39759036144578314,0.2568093385214008,0.7400115300693993,0.8172823190689087,30
blitz,1,0.001,True,0.0,20,64,0.1,128,True,False,0.0,0.0,0.0,0.0,0.7331518685280188,0.18165229260921478,0
blitz,1,0.001,True,0.0,20,64,0.1,128,False,True,0.13761467889908258,0.13761467889908258,0.5421686746987951,0.21951219512195125,0.7385812176628986,0.7009527683258057,25
blitz,1,0.001,True,0.0,20,64,0.1,128,False,False,0.0,0.0,0.0,0.0,0.7144556420716177,0.18614982068538666,0
blitz,1,0.001,True,0.0,20,128,0.1,128,True,True,0.19753086419753085,0.19753086419753085,0.3855421686746988,0.26122448979591834,0.738055796778878,0.8589200377464294,35
blitz,1,0.001,True,0.0,20,128,0.1,128,True,False,0.4,0.4,0.024096385542168676,0.045454545454545456,0.7261754467901892,0.19206617772579193,0
blitz,1,0.001,True,0.0,20,128,0.1,128,False,True,0.15034965034965034,0.15034965034965034,0.5180722891566265,0.23306233062330625,0.730918829770931,0.7620362639427185,45
blitz,1,0.001,True,0.0,20,128,0.1,128,False,False,0.0,0.0,0.0,0.0,0.7194106529084234,0.18822306394577026,0
blitz,1,0.001,True,0.0,21,32,0.1,128,True,True,0.15165876777251186,0.15165876777251186,0.3855421686746988,0.217687074829932,0.7001817080557238,0.7698572278022766,45
blitz,1,0.001,True,0.0,21,32,0.1,128,True,False,0.0,0.0,0.0,0.0,0.6997365598067617,0.18472205102443695,0
blitz,1,0.001,True,0.0,21,32,0.1,128,False,True,0.11602209944751381,0.11602209944751381,0.5060240963855421,0.18876404494382018,0.703728299022863,0.6738199591636658,45
blitz,1,0.001,True,0.0,21,32,0.1,128,False,False,0.0,0.0,0.0,0.0,0.6816679194062745,0.1929900348186493,0
blitz,1,0.001,True,0.0,21,64,0.1,128,True,True,0.19480519480519481,0.19480519480519481,0.3614457831325301,0.2531645569620253,0.7236505075419789,0.8143682479858398,35
blitz,1,0.001,True,0.0,21,64,0.1,128,True,False,0.0,0.0,0.0,0.0,0.7033926134580721,0.18670876324176788,0
blitz,1,0.001,True,0.0,21,64,0.1,128,False,True,0.12727272727272726,0.12727272727272726,0.5903614457831325,0.20940170940170938,0.7206585275079725,0.6749430894851685,45
blitz,1,0.001,True,0.0,21,64,0.1,128,False,False,0.0,0.0,0.0,0.0,0.7049177935241876,0.18435697257518768,0
blitz,1,0.001,True,0.0,21,128,0.1,128,True,True,0.21710526315789475,0.21710526315789475,0.39759036144578314,0.28085106382978725,0.7232783344157977,0.8570648431777954,45
blitz,1,0.001,True,0.0,21,128,0.1,128,True,False,0.5,0.5,0.012048192771084338,0.023529411764705882,0.7245116139907906,0.1869712471961975,0
blitz,1,0.001,True,0.0,21,128,0.1,128,False,True,0.16546762589928057,0.16546762589928057,0.5542168674698795,0.2548476454293629,0.7274889990002408,0.735626757144928,45
blitz,1,0.001,True,0.0,21,128,0.1,128,False,False,0.0,0.0,0.0,0.0,0.7268614129443274,0.1911434829235077,0
blitz,1,0.001,True,0.0,22,32,0.1,128,True,True,0.15568862275449102,0.15568862275449102,0.3132530120481928,0.208,0.7183452161158261,0.7481741905212402,25
blitz,1,0.001,True,0.0,22,32,0.1,128,True,False,0.0,0.0,0.0,0.0,0.7001160304452212,0.19046103954315186,0
blitz,1,0.001,True,0.0,22,32,0.1,128,False,True,0.12359550561797752,0.12359550561797752,0.5301204819277109,0.20045558086560367,0.7132953376194056,0.6687780022621155,45
blitz,1,0.001,True,0.0,22,32,0.1,128,False,False,0.0,0.0,0.0,0.0,0.6929133858267716,0.1919197142124176,0
blitz,1,0.001,True,0.0,22,64,0.1,128,True,True,0.1559633027522936,0.1559633027522936,0.40963855421686746,0.2259136212624585,0.7279998248597053,0.7384305596351624,0
blitz,1,0.001,True,0.0,22,64,0.1,128,True,False,0.0,0.0,0.0,0.0,0.7269562806039421,0.18121473491191864,0
blitz,1,0.001,True,0.0,22,64,0.1,128,False,True,0.125,0.125,0.5903614457831325,0.2063157894736842,0.7438135339662708,0.6382808089256287,0
blitz,1,0.001,True,0.0,22,64,0.1,128,False,False,0.0,0.0,0.0,0.0,0.7308896397218189,0.18372619152069092,0
blitz,1,0.001,True,0.0,22,128,0.1,128,True,True,0.20540540540540542,0.20540540540540542,0.4578313253012048,0.2835820895522388,0.7398947698729503,0.8069950938224792,15
blitz,1,0.001,True,0.0,22,128,0.1,128,True,False,1.0,1.0,0.060240963855421686,0.11363636363636363,0.7354651799201652,0.18001173436641693,0
blitz,1,0.001,True,0.0,22,128,0.1,128,False,True,0.16740088105726872,0.16740088105726872,0.4578313253012048,0.24516129032258063,0.7401355877781264,0.7633607387542725,15
blitz,1,0.001,True,0.0,22,128,0.1,128,False,False,1.0,1.0,0.03614457831325301,0.06976744186046512,0.7398801748483943,0.1846245676279068,0
blitz,1,0.001,True,0.0,23,32,0.1,128,True,True,0.13934426229508196,0.13934426229508196,0.40963855421686746,0.2079510703363914,0.7116315048200068,0.7310594320297241,45
blitz,1,0.001,True,0.0,23,32,0.1,128,True,False,0.0,0.0,0.0,0.0,0.7043485875664985,0.18646083772182465,0
blitz,1,0.001,True,0.0,23,32,0.1,128,False,True,0.1111111111111111,0.1111111111111111,0.4578313253012048,0.1788235294117647,0.7128137018090532,0.6777022480964661,40
blitz,1,0.001,True,0.0,23,32,0.1,128,False,False,0.0,0.0,0.0,0.0,0.6971824305094394,0.18961240351200104,0
blitz,1,0.001,True,0.0,23,64,0.1,128,True,True,0.13839285714285715,0.13839285714285715,0.37349397590361444,0.2019543973941368,0.7134631804018011,0.808631956577301,45
blitz,1,0.001,True,0.0,23,64,0.1,128,True,False,0.0,0.0,0.0,0.0,0.7181846708457086,0.18378229439258575,0
blitz,1,0.001,True,0.0,23,64,0.1,128,False,True,0.13733905579399142,0.13733905579399142,0.3855421686746988,0.20253164556962028,0.7261170666919647,0.7558053731918335,45
blitz,1,0.001,True,0.0,23,64,0.1,128,False,False,0.0,0.0,0.0,0.0,0.7105879605642437,0.19505341351032257,0
blitz,1,0.001,True,0.0,23,128,0.1,128,True,True,0.2283464566929134,0.2283464566929134,0.3493975903614458,0.2761904761904762,0.7236724000788132,0.9560261368751526,35
blitz,1,0.001,True,0.0,23,128,0.1,128,True,False,0.4,0.4,0.024096385542168676,0.045454545454545456,0.7331883560894091,0.1969159096479416,0
blitz,1,0.001,True,0.0,23,128,0.1,128,False,True,0.18994413407821228,0.18994413407821228,0.40963855421686746,0.2595419847328244,0.7226726408967183,0.8640701770782471,25
blitz,1,0.001,True,0.0,23,128,0.1,128,False,False,0.5,0.5,0.012048192771084338,0.023529411764705882,0.7276641392949144,0.19733482599258423,0
blitz,1,0.001,True,0.0,24,32,0.1,128,True,True,0.15450643776824036,0.15450643776824036,0.43373493975903615,0.22784810126582275,0.7207606926798653,0.7321838140487671,45
blitz,1,0.001,True,0.0,24,32,0.1,128,True,False,0.0,0.0,0.0,0.0,0.6867834755131976,0.18852263689041138,0
blitz,1,0.001,True,0.0,24,32,0.1,128,False,True,0.12023460410557185,0.12023460410557185,0.4939759036144578,0.19339622641509432,0.7217458568374041,0.6740972995758057,20
blitz,1,0.001,True,0.0,24,32,0.1,128,False,False,0.0,0.0,0.0,0.0,0.6822006378025731,0.19106456637382507,0
blitz,1,0.001,True,0.0,24,64,0.1,128,True,True,0.1787709497206704,0.1787709497206704,0.3855421686746988,0.24427480916030536,0.7247451343836886,0.8016110062599182,15
blitz,1,0.001,True,0.0,24,64,0.1,128,True,False,0.0,0.0,0.0,0.0,0.7144045594856714,0.18468624353408813,0
blitz,1,0.001,True,0.0,24,64,0.1,128,False,True,0.15714285714285714,0.15714285714285714,0.39759036144578314,0.22525597269624575,0.7224245254792642,0.7669188380241394,25
blitz,1,0.001,True,0.0,24,64,0.1,128,False,False,0.0,0.0,0.0,0.0,0.701451475192107,0.19299426674842834,0
blitz,1,0.001,True,0.0,24,128,0.1,128,True,True,0.19745222929936307,0.19745222929936307,0.37349397590361444,0.25833333333333336,0.714141849043661,0.9094972014427185,25
blitz,1,0.001,True,0.0,24,128,0.1,128,True,False,0.8571428571428571,0.8571428571428571,0.07228915662650602,0.13333333333333333,0.7213007085884422,0.1933591514825821,0
blitz,1,0.001,True,0.0,24,128,0.1,128,False,True,0.15827338129496402,0.15827338129496402,0.5301204819277109,0.24376731301939059,0.718228455919377,0.767987072467804,25
blitz,1,0.001,True,0.0,24,128,0.1,128,False,False,0.8,0.8,0.0963855421686747,0.17204301075268819,0.7226288558230499,0.18367819488048553,0
blitz,1,0.001,True,0.5,20,32,0.1,128,True,True,0.14675767918088736,0.14675767918088736,0.5180722891566265,0.22872340425531915,0.7174914071792926,0.712836503982544,20
blitz,1,0.001,True,0.5,20,32,0.1,128,True,False,0.18012422360248448,0.18012422360248448,0.3493975903614458,0.2377049180327869,0.7127334291739945,0.29385119676589966,40
blitz,1,0.001,True,0.5,20,32,0.1,128,False,True,0.09,0.09,0.5421686746987951,0.15437392795883362,0.7112666292061036,0.6353041529655457,20
blitz,1,0.001,True,0.5,20,32,0.1,128,False,False,0.136,0.136,0.40963855421686746,0.2042042042042042,0.700663343866076,0.39183956384658813,30
blitz,1,0.001,True,0.5,20,64,0.1,128,True,True,0.1494661921708185,0.1494661921708185,0.5060240963855421,0.23076923076923078,0.7334437690191413,0.7350404262542725,5
blitz,1,0.001,True,0.5,20,64,0.1,128,True,False,0.17801047120418848,0.17801047120418848,0.40963855421686746,0.24817518248175183,0.727970634810593,0.30909278988838196,30
blitz,1,0.001,True,0.5,20,64,0.1,128,False,True,0.0975103734439834,0.0975103734439834,0.5662650602409639,0.1663716814159292,0.7224318229915421,0.6427081227302551,10
blitz,1,0.001,True,0.5,20,64,0.1,128,False,False,0.13358778625954199,0.13358778625954199,0.42168674698795183,0.2028985507246377,0.7196587683258777,0.3899458944797516,15
blitz,1,0.001,True,0.5,20,128,0.1,128,True,True,0.16049382716049382,0.16049382716049382,0.46987951807228917,0.2392638036809816,0.7222493851845906,0.8230082988739014,25
blitz,1,0.001,True,0.5,20,128,0.1,128,True,False,0.2052980132450331,0.2052980132450331,0.37349397590361444,0.26495726495726496,0.7196003882276533,0.2765902578830719,25
blitz,1,0.001,True,0.5,20,128,0.1,128,False,True,0.0998003992015968,0.0998003992015968,0.6024096385542169,0.17123287671232879,0.717090044003999,0.6746706962585449,20
blitz,1,0.001,True,0.5,20,128,0.1,128,False,False,0.11764705882352941,0.11764705882352941,0.4578313253012048,0.187192118226601,0.7122444958513643,0.43958842754364014,40
blitz,1,0.001,True,0.5,21,32,0.1,128,True,True,0.16574585635359115,0.16574585635359115,0.3614457831325301,0.22727272727272727,0.7041953398086591,0.7411771416664124,40
blitz,1,0.001,True,0.5,21,32,0.1,128,True,False,0.15384615384615385,0.15384615384615385,0.14457831325301204,0.14906832298136644,0.6945626236016142,0.2519018352031708,40
blitz,1,0.001,True,0.5,21,32,0.1,128,False,True,0.07858546168958742,0.07858546168958742,0.4819277108433735,0.13513513513513511,0.6717433027081068,0.6605872511863708,40
blitz,1,0.001,True,0.5,21,32,0.1,128,False,False,0.11155378486055777,0.11155378486055777,0.3373493975903614,0.16766467065868262,0.6668539694818036,0.4244098663330078,45
blitz,1,0.001,True,0.5,21,64,0.1,128,True,True,0.15714285714285714,0.15714285714285714,0.39759036144578314,0.22525597269624575,0.7209869155604853,0.7333047986030579,40
blitz,1,0.001,True,0.5,21,64,0.1,128,True,False,0.1834862385321101,0.1834862385321101,0.24096385542168675,0.20833333333333334,0.7183525136281042,0.2560848295688629,5
blitz,1,0.001,True,0.5,21,64,0.1,128,False,True,0.09014675052410902,0.09014675052410902,0.5180722891566265,0.15357142857142858,0.6899214057927653,0.6652530431747437,40
blitz,1,0.001,True,0.5,21,64,0.1,128,False,False,0.12318840579710146,0.12318840579710146,0.40963855421686746,0.18941504178272983,0.6806462676873453,0.4150143563747406,25
blitz,1,0.001,True,0.5,21,128,0.1,128,True,True,0.17098445595854922,0.17098445595854922,0.39759036144578314,0.23913043478260868,0.7114490670130553,0.784828245639801,40
blitz,1,0.001,True,0.5,21,128,0.1,128,True,False,0.24175824175824176,0.24175824175824176,0.26506024096385544,0.25287356321839083,0.7113177117920501,0.24323494732379913,35
blitz,1,0.001,True,0.5,21,128,0.1,128,False,True,0.09784735812133072,0.09784735812133072,0.6024096385542169,0.16835016835016833,0.7043631825910547,0.6694948077201843,20
blitz,1,0.001,True,0.5,21,128,0.1,128,False,False,0.11526479750778816,0.11526479750778816,0.4457831325301205,0.18316831683168314,0.6977224464180162,0.4419219195842743,30
blitz,1,0.001,True,0.5,22,32,0.1,128,True,True,0.11176470588235295,0.11176470588235295,0.4578313253012048,0.17966903073286053,0.6903738515540053,0.7159861326217651,35
blitz,1,0.001,True,0.5,22,32,0.1,128,True,False,0.12138728323699421,0.12138728323699421,0.25301204819277107,0.1640625,0.6856158735487072,0.31979116797447205,25
blitz,1,0.001,True,0.5,22,32,0.1,128,False,True,0.08095238095238096,0.08095238095238096,0.6144578313253012,0.14305750350631136,0.6820109024833434,0.6527990698814392,25
blitz,1,0.001,True,0.5,22,32,0.1,128,False,False,0.1016949152542373,0.1016949152542373,0.3614457831325301,0.15873015873015875,0.6778367254602906,0.43890413641929626,25
blitz,1,0.001,True,0.5,22,64,0.1,128,True,True,0.13425925925925927,0.13425925925925927,0.3493975903614458,0.1939799331103679,0.7218188319601847,0.743171215057373,45
blitz,1,0.001,True,0.5,22,64,0.1,128,True,False,0.15625,0.15625,0.24096385542168675,0.1895734597156398,0.7186152240701145,0.2692759037017822,5
