#{"t_start": 1635085209.065227, "env_id": null}
r,l,t,is_success
-10.581684,20,1840.419079,0
-24.705861,100,1852.597219,0
-23.249155,100,1864.787874,0
-22.292917,100,1877.16787,0
-17.199149,100,1889.390881,0
-14.682181,53,1895.856923,1
-4.771085,22,1898.624895,1
-5.702976,26,1902.154725,1
-9.557745,35,1906.421692,1
-19.082803,100,1918.709266,0
-8.624363,36,1923.253401,1
-9.780544,16,1925.316951,0
-9.391038,39,1930.353178,1
-3.60053,13,1932.057725,1
-18.82557,100,1944.221154,0
-3.354861,13,1945.858304,1
-3.634239,20,1948.366324,1
-10.920535,14,1950.220876,0
-8.546445,21,1952.926815,1
-15.812547,48,1959.072301,1
-11.850397,42,1964.215975,1
-22.776074,100,1976.363928,0
-16.293125,100,1989.177817,0
-30.139891,100,2000.768548,0
-7.928308,30,2004.284653,1
-17.648188,100,2015.296448,0
-12.05592,35,2019.422964,1
-11.752124,15,2021.179994,0
-3.849858,19,2023.443862,1
-15.81243,100,2035.12393,0
-9.394284,12,2036.481879,0
-9.681352,30,2039.780521,1
-12.714395,21,2042.128242,0
-19.972316,100,2053.245414,0
-8.825898,43,2058.082861,1
-20.434013,100,2070.410083,0
-6.582472,27,2073.815234,1
-18.317917,100,2086.680998,0
-21.552073,100,2099.30368,0
-20.041605,72,2107.750916,1
-16.846724,100,2119.275047,0
-13.754979,20,2121.711248,0
-18.907272,59,2128.494701,1
-9.687951,35,2132.56596,1
-4.474025,19,2134.858741,1
-5.959957,28,2138.162328,1
-15.144704,79,2148.34769,1
-5.711402,18,2150.681449,1
-17.798506,100,2165.012104,0
-6.098389,29,2168.6445,1
-10.096128,39,2173.237874,1
-10.372449,28,2176.596308,1
-10.824003,38,2181.2799,1
-9.997811,15,2183.205339,0
-18.317066,100,2194.933772,0
-11.139534,30,2198.619837,1
-6.422005,25,2201.648659,1
-3.579739,14,2203.4153,1
-5.021478,22,2207.177208,1
-11.020215,26,2211.706469,1
-7.656354,29,2215.182628,1
-7.179176,37,2219.746511,1
-11.83297,44,2225.111007,1
-4.254447,23,2227.777378,1
-7.653037,21,2230.196317,1
-6.104741,24,2233.025607,1
-16.769614,100,2244.605028,0
-4.607092,17,2246.606123,1
-8.086613,33,2250.328482,1
-9.054097,29,2253.671866,1
-3.814086,14,2255.381499,1
-9.98341,24,2258.11289,1
-9.270885,39,2262.705871,1
-6.793564,26,2265.808759,1
-5.832528,28,2269.140904,1
-8.042795,32,2273.424778,1
-19.904051,100,2285.224009,0
-4.595616,22,2287.954617,1
-6.880625,31,2291.495843,1
-15.792237,100,2302.70832,0
-8.017636,26,2306.144583,1
-19.90082,100,2318.926684,0
-8.074295,33,2322.922387,1
-11.685368,15,2324.770949,0
-9.026596,33,2328.64787,1
-6.291301,25,2331.532134,1
-11.281253,42,2336.440252,1
-7.564799,29,2339.825216,1
-6.390719,24,2342.744803,1
-7.33296,27,2345.878287,1
-5.141959,24,2348.716193,1
-6.923212,25,2351.742411,1
-6.648213,26,2354.759013,1
-13.659977,16,2356.775061,0
-5.71448,24,2359.685528,1
-6.995532,27,2362.904513,1
-7.979542,24,2365.775029,1
-15.527162,100,2377.528831,0
-8.330575,20,2379.979181,1
-18.001975,100,2391.428356,0
-23.765952,66,2399.311989,0
-3.490957,15,2401.064295,1
-5.701187,22,2403.618313,1
-10.314914,18,2405.873556,0
-5.816862,22,2408.448201,1
-2.652024,12,2409.889411,1
-6.740652,18,2412.039424,1
-9.73564,33,2416.201006,1
-3.485404,17,2418.248312,1
-32.697915,100,2429.664271,0
-15.945236,100,2441.32193,0
-4.64413,18,2443.493305,1
-15.337911,71,2451.654719,1
-3.304802,15,2453.351495,1
-18.396659,100,2464.335369,0
-8.256148,38,2468.481158,1
-7.963985,33,2472.136284,1
-5.514075,18,2474.298198,1
-9.858752,12,2475.73183,0
-9.574093,28,2478.925946,1
-14.777004,49,2484.566991,1
-5.826868,22,2487.234841,1
-9.294743,28,2491.005414,1
-4.244576,23,2493.635146,1
-4.039597,17,2495.664302,1
-8.239935,38,2499.947202,1
-16.597904,100,2512.843024,0
-12.489993,47,2518.218049,1
-7.981119,30,2521.494996,1
-7.920466,25,2524.609979,1
-21.89406,100,2536.340375,0
-6.250118,25,2539.128902,1
-9.955052,22,2541.853593,1
-8.225829,8,2542.850878,0
-6.275758,24,2545.624069,1
-3.817235,21,2547.945793,1
-6.586,24,2550.630856,1
-8.887402,13,2552.17,0
-4.561545,16,2553.954015,1
-9.055616,32,2557.443105,1
-18.762349,53,2563.616872,1
-8.11425,27,2566.697234,1
-5.94215,28,2569.80785,1
-10.313621,24,2572.679344,1
-12.277041,43,2577.340672,1
-12.587599,38,2582.017918,1
-17.703959,100,2593.834779,0
-12.02477,41,2598.444154,1
-14.226483,100,2609.711638,0
-8.53818,23,2612.629579,1
-18.288598,52,2619.109638,1
-7.577777,20,2621.312699,1
